year,raceName,driverName,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,status
2023,Abu Dhabi Grand Prix,Verstappen,1,1,1,1,26.0,58,1:27:02.624,5222624,45,1,1:26.993,218.541,Finished
2023,Abu Dhabi Grand Prix,Leclerc,2,2,2,2,18.0,58,+17.993,5240617,44,8,1:28.199,215.553,Finished
2023,Abu Dhabi Grand Prix,Russell,4,3,3,3,15.0,58,+20.328,5242952,45,7,1:28.187,215.582,Finished
2023,Abu Dhabi Grand Prix,Pérez,9,4,4,4,12.0,58,+21.453,5244077,44,2,1:27.493,217.292,Finished
2023,Abu Dhabi Grand Prix,Norris,5,5,5,5,10.0,58,+24.284,5246908,45,6,1:28.164,215.639,Finished
2023,Abu Dhabi Grand Prix,Piastri,3,6,6,6,8.0,58,+31.487,5254111,38,5,1:28.138,215.702,Finished
2023,Abu Dhabi Grand Prix,Alonso,7,7,7,7,6.0,58,+39.512,5262136,42,9,1:28.256,215.414,Finished
2023,Abu Dhabi Grand Prix,Tsunoda,6,8,8,8,4.0,58,+43.088,5265712,55,16,1:29.256,213.000,Finished
2023,Abu Dhabi Grand Prix,Hamilton,11,9,9,9,2.0,58,+44.424,5267048,52,10,1:28.372,215.131,Finished
2023,Abu Dhabi Grand Prix,Stroll,13,10,10,10,1.0,58,+55.632,5278256,44,4,1:28.050,215.918,Finished
2023,Abu Dhabi Grand Prix,Ricciardo,15,11,11,11,0.0,58,+56.229,5278853,47,11,1:28.571,214.648,Finished
2023,Abu Dhabi Grand Prix,Ocon,12,12,12,12,0.0,58,+1:06.373,5288997,34,20,1:30.033,211.162,Finished
2023,Abu Dhabi Grand Prix,Gasly,10,13,13,13,0.0,58,+1:10.360,5292984,35,14,1:29.016,213.575,Finished
2023,Abu Dhabi Grand Prix,Albon,14,14,14,14,0.0,58,+1:13.184,5295808,45,3,1:27.845,216.422,Finished
2023,Abu Dhabi Grand Prix,Hülkenberg,8,15,15,15,0.0,58,+1:23.696,5306320,58,15,1:29.217,213.093,Finished
2023,Abu Dhabi Grand Prix,Sargeant,20,16,16,16,0.0,58,+1:27.791,5310415,43,12,1:28.580,214.626,Finished
2023,Abu Dhabi Grand Prix,Zhou,19,17,17,17,0.0,58,+1:29.422,5312046,43,13,1:28.746,214.224,Finished
2023,Abu Dhabi Grand Prix,Sainz,16,18,18,18,0.0,57,,,42,17,1:29.452,212.534,Retired
2023,Abu Dhabi Grand Prix,Bottas,18,19,19,19,0.0,57,,,42,18,1:29.863,211.562,+1 Lap
2023,Abu Dhabi Grand Prix,Magnussen,17,20,20,20,0.0,57,,,46,19,1:29.934,211.395,+1 Lap
