year,raceName,driverName,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,status
2021,Bahrain Grand Prix,Hamilton,2,1,1,1,25.0,56,1:32:03.897,5523897,44,4,1:34.015,207.235,Finished
2021,Bahrain Grand Prix,Verstappen,1,2,2,2,18.0,56,+0.745,5524642,41,2,1:33.228,208.984,Finished
2021,Bahrain Grand Prix,Bottas,3,3,3,3,16.0,56,+37.383,5561280,56,1,1:32.090,211.566,Finished
2021,Bahrain Grand Prix,Norris,7,4,4,4,12.0,56,+46.466,5570363,38,6,1:34.396,206.398,Finished
2021,Bahrain Grand Prix,Pérez,0,5,5,5,10.0,56,+52.047,5575944,44,3,1:33.970,207.334,Finished
2021,Bahrain Grand Prix,Leclerc,4,6,6,6,8.0,56,+59.090,5582987,39,11,1:34.988,205.112,Finished
2021,Bahrain Grand Prix,Ricciardo,6,7,7,7,6.0,56,+66.004,5589901,36,10,1:34.932,205.233,Finished
2021,Bahrain Grand Prix,Sainz,8,8,8,8,4.0,56,+67.100,5590997,48,7,1:34.509,206.151,Finished
2021,Bahrain Grand Prix,Tsunoda,13,9,9,9,2.0,56,+85.692,5609589,38,8,1:34.761,205.603,Finished
2021,Bahrain Grand Prix,Stroll,10,10,10,10,1.0,56,+86.713,5610610,31,9,1:34.865,205.378,Finished
2021,Bahrain Grand Prix,Pilote Inconnu,14,11,11,11,0.0,56,+88.864,5612761,45,14,1:35.192,204.672,Finished
2021,Bahrain Grand Prix,Pilote Inconnu,12,12,12,12,0.0,55,,,32,13,1:35.122,204.823,+1 Lap
2021,Bahrain Grand Prix,Ocon,16,13,13,13,0.0,55,,,33,15,1:35.250,204.548,+1 Lap
2021,Bahrain Grand Prix,Russell,15,14,14,14,0.0,55,,,40,12,1:35.036,205.008,+1 Lap
2021,Bahrain Grand Prix,Pilote Inconnu,20,15,15,15,0.0,55,,,26,16,1:35.566,203.871,+1 Lap
2021,Bahrain Grand Prix,Pilote Inconnu,18,16,16,16,0.0,55,,,38,18,1:36.134,202.667,+1 Lap
2021,Bahrain Grand Prix,Gasly,5,17,17,17,0.0,52,,,48,5,1:34.090,207.069,Retired
2021,Bahrain Grand Prix,Pilote Inconnu,17,18,18,18,0.0,51,,,16,19,1:36.602,201.685,Retired
2021,Bahrain Grand Prix,Alonso,9,,R,19,0.0,32,,,31,17,1:36.063,202.816,Brakes
2021,Bahrain Grand Prix,Pilote Inconnu,19,,R,20,0.0,0,,,,0,,,Accident
